	No Resample	Undersample	Oversample
IV	0.3441596720175335	0.19138574762729887	0.1951518073747462
TML	0.23864801154657575	0.1750230265257067	0.1923024555712371
SMOKING_PACK_YEARS	0.20915282098150276	0.20033180305737758	0.2082736593501451
I	0.055799366986676945	0.20769903190095784	0.2445888957856439
II	0.04775166248665226	0.062359002509185774	0.051269823251872335
III	0.03179944374853167	0.04961564391907866	0.039331089059431834
Lung Squamous Cell Carcinoma	0.013775003448804895	0.022217102677268306	0.015904017738516362
younger	0.013007122040417015	0.016628034446624716	0.011184705757428156
Lung Adenocarcinoma	0.0123531619368298	0.019880991293038438	0.012601998531821004
older	0.01082423688385171	0.011971650498894957	0.009785344739003509
Current Smoker	0.010430392039565117	0.02381419823955347	0.008809366808198531
Current Reformed Smoker	0.009296966119207892	0.018729062986777234	0.009693101873885897
Lifelong Non-Smoker	0.0030021397638506494	0.00034470431823738115	0.0011037341580700684
