	No Resample	Undersample	Oversample
SMOKING_PACK_YEARS	0.8402040838848974	0.7754316126143269	0.8085639410675413
Current Reformed Smoker For > 15 Years	0.026360927887955632	0.0439693531226561	0.03387012721193069
Current Reformed Smoker For < Or = 15 Years	0.02348464156270264	0.031068591397936735	0.033601819521827274
younger	0.021863369398836593	0.032318800858779397	0.018742273676446933
female	0.021286491169714133	0.025476608459039842	0.025526465754703614
male	0.02121176781267658	0.03132131680856947	0.026128491414418274
Current Smoker	0.020299600373153908	0.03102102482555582	0.022807901607782784
older	0.01324296829314512	0.023583750779194917	0.017210304972341266
Lifelong Non-Smoker	0.010740185729082143	0.005808941133940769	0.009849942724575537
Current Reformed Smoker, Duration Not Specified 	0.0013059638878359307	0.0	0.003698732048432261
