	No Resample	Undersample	Oversample
SMOKING_PACK_YEARS	0.38614842670351096	0.3265229113019446	0.35058985032234635
IV	0.36842227339856537	0.20671955191921565	0.20472993286451113
I	0.07355063634659893	0.22221748782012674	0.2665870542039814
II	0.05567917876244852	0.0768343282335299	0.06026880395197276
III	0.0457719614202439	0.045760660051965905	0.03769605134182202
younger	0.013293220002416948	0.01680229968231909	0.01307436432315132
Lung Adenocarcinoma	0.013044326309193822	0.019501489868039904	0.018077039700337277
Lung Squamous Cell Carcinoma	0.011298184572953649	0.020857664690790832	0.018274215278297142
Current Smoker	0.0106192247495977	0.021451202957771812	0.009399714196603058
Current Reformed Smoker	0.009332161672215334	0.0219452838033439	0.008671079464625153
older	0.008007761614060664	0.019442220309433458	0.01090388144974104
Lifelong Non-Smoker	0.004832644448194341	0.0019448993615183788	0.0017280129026114536
