,No Resample,Undersample,Oversample
female,0.020249742875982593,0.03303192413884871,0.01992749605129994
male,0.02084543989782896,0.023145826588588377,0.022309936434591372
older,0.014477154455110584,0.022051068436071516,0.018598369019881326
younger,0.020392649538845592,0.024766137513706363,0.020467032261071286
stage_cat_0,0.0017566981538567313,0.0,0.003946187000326256
stage_cat_1,0.028531662968494725,0.07721849538996288,0.10524198893935434
stage_cat_2,0.03184778147012858,0.1835167225158549,0.13981014117128257
stage_cat_3,0.0008536895067867517,0.0,0.0012276920688683239
stage_cat_4,0.02704009265819693,0.04657025482980335,0.0277538198907069
stage_cat_5,0.020229188924141286,0.027791441807705305,0.029892753433599276
stage_cat_6,0.032064521025506415,0.006761790571519043,0.013311686592722603
stage_cat_7,0.02764474879055693,0.03792942754236113,0.03524389781927628
stage_cat_8,0.008132997409994142,0.02211666492351839,0.008562997651880858
stage_cat_9,0.31315082917723736,0.16986286719062785,0.1857575119056414
smoke_h_cat_0,0.022119746117220077,0.0315725549411779,0.027610750066611383
smoke_h_cat_1,0.017234066377722762,0.021292347346967385,0.01594054447032358
smoke_h_cat_2,0.0010049149291209963,0.0,0.0014254689878402797
smoke_h_cat_3,0.019757483681321,0.019391020317703612,0.02655904793945326
smoke_h_cat_4,0.003766744862496751,0.0010828831327926234,0.0015663779129419804
SMOKING_PACK_YEARS,0.36889984717945074,0.25189857281279077,0.2948463003823267
