	Clinical Data	Mutated Genes	Resampling	Validation Method	PCA	Accuracy	M0: F1-score	M0: Recall	M0: Precision	M1: F1-score	M1: Recall	M1: Precision	Label
Clinical Features + TML	Clinical Features	TML	None	5-Fold CrossValidation	False	0.9642857142857144	0.9811594202898553	0.9970544918998528	0.9657631954350928	0.6578947368421053	0.5102040816326531	0.925925925925926	CF + TML
Clinical Features + TML	Clinical Features	TML	Oversample	5-Fold CrossValidation	False	0.9478021978021978	0.9722222222222222	0.9793814432989691	0.9651669085631349	0.5681818181818182	0.5102040816326531	0.6410256410256411	CF + TML
Clinical Features + TML	Clinical Features	TML	Undersample	5-Fold CrossValidation	False	0.7980769230769231	0.8817377312952533	0.8070692194403535	0.9716312056737588	0.30985915492957744	0.6734693877551021	0.201219512195122	CF + TML
Clinical Features + TML	Clinical Features	TML	None	Hold-out	False	0.956043956043956	0.9766081871345029	0.9940476190476192	0.9597701149425288	0.6363636363636364	0.5	0.875	CF + TML
Clinical Features + TML	Clinical Features	TML	Oversample	Hold-out	False	0.9505494505494504	0.9736070381231672	0.988095238095238	0.9595375722543352	0.6086956521739131	0.5	0.7777777777777778	CF + TML
Clinical Features + TML	Clinical Features	TML	Undersample	Hold-out	False	0.8516483516483516	0.9148264984227128	0.8630952380952381	0.9731543624161074	0.42553191489361697	0.7142857142857143	0.30303030303030304	CF + TML
Clinical Features + TML	Clinical Features	TML	None	5-Fold CrossValidation	True	0.9601648351648352	0.9789397240377632	0.9926362297496318	0.9656160458452722	0.6329113924050633	0.5102040816326531	0.8333333333333334	CF + TML
Clinical Features + TML	Clinical Features	TML	Oversample	5-Fold CrossValidation	True	0.940934065934066	0.9684981684981684	0.9734904270986744	0.9635568513119532	0.5274725274725275	0.4897959183673469	0.5714285714285714	CF + TML
Clinical Features + TML	Clinical Features	TML	Undersample	5-Fold CrossValidation	True	0.8049450549450551	0.8862179487179487	0.8144329896907216	0.9718804920913884	0.3173076923076923	0.6734693877551021	0.2075471698113208	CF + TML
Clinical Features + TML	Clinical Features	TML	None	Hold-out	True	0.956043956043956	0.9766081871345029	0.9940476190476192	0.9597701149425288	0.6363636363636364	0.5	0.875	CF + TML
Clinical Features + TML	Clinical Features	TML	Oversample	Hold-out	True	0.9615384615384616	0.979591836734694	1.0	0.96	0.6666666666666666	0.5	1.0	CF + TML
Clinical Features + TML	Clinical Features	TML	Undersample	Hold-out	True	0.8626373626373627	0.9206349206349206	0.8630952380952381	0.9863945578231292	0.4897959183673469	0.8571428571428571	0.3428571428571429	CF + TML
Clinical Features	Clinical Features	None	None	5-Fold CrossValidation	False	0.9546703296703296	0.976	0.9882179675994108	0.9640804597701148	0.5925925925925924	0.4897959183673469	0.75	CF
Clinical Features	Clinical Features	None	Oversample	5-Fold CrossValidation	False	0.9299450549450551	0.9623059866962308	0.9587628865979382	0.9658753709198812	0.5048543689320388	0.5306122448979592	0.4814814814814815	CF
Clinical Features	Clinical Features	None	Undersample	5-Fold CrossValidation	False	0.8063186813186813	0.8872901678657075	0.8173784977908689	0.9702797202797204	0.31219512195121946	0.6530612244897959	0.20512820512820512	CF
Clinical Features	Clinical Features	None	None	Hold-out	False	0.9615384615384616	0.979591836734694	1.0	0.96	0.6666666666666666	0.5	1.0	CF
Clinical Features	Clinical Features	None	Oversample	Hold-out	False	0.9285714285714286	0.9614243323442137	0.9642857142857144	0.9585798816568049	0.5185185185185186	0.5	0.5384615384615384	CF
Clinical Features	Clinical Features	None	Undersample	Hold-out	False	0.8241758241758241	0.8967741935483872	0.8273809523809523	0.9788732394366196	0.40740740740740733	0.7857142857142857	0.275	CF
Clinical Features	Clinical Features	None	None	5-Fold CrossValidation	True	0.9609704641350212	0.9793641940881204	0.9965947786606129	0.962719298245614	0.6407766990291262	0.4925373134328358	0.9166666666666666	CF
Clinical Features	Clinical Features	None	Oversample	5-Fold CrossValidation	True	0.8185654008438819	0.8942189421894219	0.8251986379114642	0.9758389261744966	0.3629629629629629	0.7313432835820896	0.2413793103448276	CF
Clinical Features	Clinical Features	None	Undersample	5-Fold CrossValidation	True	0.7890295358649789	0.8743718592964824	0.7900113507377979	0.978902953586498	0.3421052631578948	0.7761194029850746	0.21940928270042195	CF
Clinical Features	Clinical Features	None	None	Hold-out	True	0.9704641350210972	0.9845474613686536	0.9955357142857144	0.9737991266375546	0.6666666666666667	0.5384615384615384	0.875	CF
Clinical Features	Clinical Features	None	Oversample	Hold-out	True	0.8523206751054853	0.9160671462829736	0.8526785714285714	0.9896373056994818	0.3859649122807017	0.8461538461538461	0.25	CF
Clinical Features	Clinical Features	None	Undersample	Hold-out	True	0.8227848101265823	0.8985507246376812	0.8303571428571429	0.9789473684210528	0.30000000000000004	0.6923076923076923	0.1914893617021277	CF
TML	None	TML	None	5-Fold CrossValidation	False	0.9229957805907172	0.9599561162918266	0.9931895573212258	0.9288747346072188	0.0	0.0	0.0	TML
TML	None	TML	Oversample	5-Fold CrossValidation	False	0.5896624472573839	0.7362711864406779	0.6163450624290578	0.914141414141414	0.07600950118764846	0.2388059701492537	0.04519774011299435	TML
TML	None	TML	Undersample	5-Fold CrossValidation	False	0.4641350210970464	0.6203288490284006	0.47105561861521006	0.9080962800875274	0.0896057347670251	0.373134328358209	0.05091649694501019	TML
TML	None	TML	None	Hold-out	False	0.9113924050632912	0.95364238410596	0.9642857142857144	0.9432314410480348	0.0	0.0	0.0	TML
TML	None	TML	Oversample	Hold-out	False	0.5991561181434599	0.745308310991957	0.6205357142857143	0.9328859060402684	0.05940594059405939	0.2307692307692308	0.03409090909090909	TML
TML	None	TML	Undersample	Hold-out	False	0.489451476793249	0.6430678466076696	0.4866071428571429	0.9478260869565216	0.10370370370370373	0.5384615384615384	0.05737704918032788	TML
