Attribute	Category	Encoding name
Smoking History	Current Reformed Smoker For < Or = 15 Years	smoke_h_cat_0
Smoking History	Current Reformed Smoker For > 15 Years	smoke_h_cat_1
Smoking History	Current Reformed Smoker, Duration Not Specified 	smoke_h_cat_2
Smoking History	Current Smoker	smoke_h_cat_3
Smoking History	Lifelong Non-Smoker	smoke_h_cat_4
Stage	I	stage_cat_0
Stage	IA	stage_cat_1
Stage	IB	stage_cat_2
Stage	II	stage_cat_3
Stage	IIA	stage_cat_4
Stage	IIB	stage_cat_5
Stage	III	stage_cat_6
Stage	IIIA	stage_cat_7
Stage	IIIB	stage_cat_8
Stage	IV	stage_cat_9
